frame,t,nx,ny,nz,agree_deg
459,577463.446258,0.24058,-0.83906,-0.48795,3.66
460,577463.454075,0.22731,-0.83708,-0.49761,3.27
461,577463.457829,0.21966,-0.83463,-0.50511,3.03
462,577463.461114,0.2159,-0.83192,-0.51117,4.08
463,577463.4654,0.21598,-0.82184,-0.5272,4.34
464,577463.468933,0.24617,-0.81625,-0.52263,6.51
465,577463.473457,0.28252,-0.80041,-0.5287,5.26
466,577463.48234,0.30544,-0.80169,-0.51381,5.38
467,577463.48614,0.3317,-0.8009,-0.49853,5.83
468,577463.489016,0.32817,-0.80108,-0.50058,3.82
469,577463.494684,0.32248,-0.80795,-0.49318,3.26
470,577463.497265,0.30652,-0.81606,-0.49,2.97
471,577463.513385,0.28521,-0.81587,-0.503,4.88
472,577463.518112,0.28009,-0.82055,-0.49825,4.2
473,577463.522114,0.29441,-0.82464,-0.483,4.56
474,577463.53026,0.3068,-0.83831,-0.45067,3.7
475,577463.534806,0.33355,-0.83397,-0.43959,4.17
476,577463.53758,0.34413,-0.84874,-0.40152,4.45
477,577463.541464,0.35503,-0.85886,-0.36921,6.6
