# generated, 2026-08-15T22:04:08+00:00
# source, camera:0
# radius_mm, 10.2446
# axial, True
# fps_measured, 120.3796171216232
frame,t_capture,t_host,x_mm,y_mm,z_mm,theta_deg,phi_deg,psi_deg,nx,ny,nz,vx_mm_s,vy_mm_s,vz_mm_s,ellipse_cx,ellipse_cy,major_px,minor_px,ellipse_deg,area_px,fit_rms_px,ambiguity_margin_deg,n_solutions,jump_deg,t_seg_ms,t_est_ms,t_total_ms
75,664711.550594,664711.550594,1.1982,3.5063,22.0883,50.9693,102.4050,9.0918,-0.166874,0.758673,-0.629737,-6.0722,-1.0253,-10.1558,621.972,446.240,1406.147,774.905,9.092,518031.0,40.9979,106.967,2,1.035,9.9267,0.5190,10.4457
76,664711.556767,664711.556767,1.1551,3.5001,22.0798,50.6658,103.8832,10.4480,-0.185587,0.750867,-0.633843,-5.3242,-0.8532,-6.3500,623.096,446.285,1406.074,783.398,10.448,517867.0,41.3877,106.079,2,1.185,13.3761,0.4122,13.7883
77,664711.577105,664711.577105,1.1516,3.4948,22.0731,50.7777,103.9600,10.5346,-0.186892,0.751817,-0.632331,-1.3756,-0.3433,1.0352,623.155,446.116,1406.903,781.862,10.535,517971.0,41.2846,106.275,2,0.127,13.9108,0.3968,14.3076
78,664711.594344,664711.594344,1.1559,3.4963,22.0851,50.6482,103.9040,10.4637,-0.185812,0.750610,-0.634081,0.3948,0.0042,1.8005,623.161,446.005,1405.637,783.771,10.464,518084.0,41.4499,106.018,2,0.137,10.3164,0.5465,10.8629
79,664711.597368,664711.597368,1.1545,3.4985,22.0804,50.6411,103.8491,10.4157,-0.185075,0.750712,-0.634176,0.6117,0.1069,1.5745,622.945,446.108,1405.940,783.870,10.416,517950.0,41.4790,106.024,2,0.043,12.8271,2.1218,14.9489
80,664711.611142,664711.611142,1.2216,3.5123,22.1208,50.8565,102.4698,9.1013,-0.167465,0.757271,-0.631265,2.5123,0.5455,2.2264,623.551,446.611,1403.568,775.848,9.101,518022.0,39.1241,106.740,2,1.090,28.0500,1.6391,29.6891
81,664711.644478,664711.644478,1.1201,3.5793,21.7725,51.4814,104.9869,11.5423,-0.202329,0.755793,-0.622769,-3.1554,2.4225,-15.0823,626.856,453.708,1431.942,776.591,11.542,517580.0,41.0335,107.996,2,2.058,25.7242,0.4631,26.1873
82,664711.656465,664711.656465,1.1148,3.5764,21.7546,51.6041,105.0296,11.6015,-0.203238,0.756928,-0.621091,-2.5671,1.5726,-8.9017,626.787,453.714,1433.681,775.003,11.602,517827.0,40.7361,108.234,2,0.127,108.2660,8.8079,117.0739
83,664711.795839,664711.795839,1.1373,3.4943,22.0539,50.7781,103.7201,10.3428,-0.183743,0.752597,-0.632326,2.7896,-2.7206,13.1895,621.583,445.860,1408.169,782.096,10.343,517863.0,41.6706,106.320,2,1.313,17.2115,0.5489,17.7604
84,664711.812517,664711.812517,1.1481,3.4930,22.0666,50.6793,103.6370,10.2401,-0.182394,0.751802,-0.633661,1.6682,-1.3311,4.0504,621.998,445.583,1406.966,783.547,10.240,517820.0,41.8483,106.112,2,0.118,10.0056,1.6650,11.6706
85,664711.823159,664711.823159,1.1382,3.4927,22.0453,50.8025,103.6179,10.2515,-0.182463,0.753186,-0.631996,0.5593,-0.5796,-0.1404,621.441,445.695,1408.853,781.880,10.251,517762.0,41.7776,106.377,2,0.124,15.5147,7.6163,23.1309
86,664711.836534,664711.836534,1.1569,3.4962,22.0856,50.6239,103.8010,10.3674,-0.184399,0.750682,-0.634408,0.5362,0.0005,0.5040,622.927,445.891,1405.502,784.064,10.367,518146.0,41.6286,105.983,2,0.228,8.2470,0.3896,8.6367
87,664711.861323,664711.861323,1.1266,3.5839,21.7856,51.4101,105.1023,11.6275,-0.203649,0.754634,-0.623742,-0.9557,3.1871,-13.0241,627.537,454.041,1430.790,777.526,11.627,518637.0,40.9866,107.846,2,1.281,7.3452,0.5478,7.8930
88,664711.872353,664711.872353,1.1512,3.4987,22.0737,50.6854,103.8776,10.4511,-0.185566,0.751095,-0.633578,-0.1022,0.0135,3.6151,622.857,446.196,1406.555,783.279,10.451,518056.0,41.3933,106.115,2,1.197,7.4370,1.0628,8.4999
89,664711.886037,664711.886037,1.1545,3.4985,22.0804,50.6411,103.8491,10.4157,-0.185075,0.750712,-0.634176,0.3017,-0.9778,5.9711,622.945,446.108,1405.940,783.870,10.416,511801.0,41.4790,106.024,2,0.049,9.4478,0.3975,9.8453
90,664711.893436,664711.893436,1.1498,3.4981,22.0727,50.6846,103.9004,10.4735,-0.185862,0.751013,-0.633589,0.2305,-1.0579,4.5908,622.832,446.163,1406.628,783.391,10.474,518135.0,41.3645,106.107,2,0.059,15.5749,0.9270,16.5018
91,664711.968683,664711.968683,1.1465,3.4982,22.0660,50.7289,103.9286,10.5087,-0.186350,0.751396,-0.632991,-0.2988,0.8413,-4.5738,622.744,446.250,1407.244,782.799,10.509,518375.0,41.2789,106.198,2,0.049,12.5050,0.7188,13.2238
