index,t_capture,skew_s,t_a,t_b
39847,585385.665421,0.004063,585385.663389,585385.667452
39848,585385.672376,0.008041,585385.668356,585385.676396
39849,585385.676077,0.008546,585385.671804,585385.680349
39850,585385.682996,0.004041,585385.680976,585385.685017
39851,585385.687121,0.002304,585385.685969,585385.688273
39852,585385.691359,0.004102,585385.689308,585385.693410
39853,585385.694754,0.004167,585385.692670,585385.696837
39854,585385.700429,0.008506,585385.696176,585385.704682
39855,585385.707354,0.003663,585385.705522,585385.709186
39856,585385.713103,0.006134,585385.710036,585385.716170
39857,585385.717684,0.005132,585385.715118,585385.720250
39858,585385.721637,0.001279,585385.720997,585385.722276
39859,585385.726029,0.008994,585385.721532,585385.730526
39860,585385.732204,0.005556,585385.729426,585385.734982
39861,585385.738832,0.003762,585385.736951,585385.740714
39862,585385.740856,0.003899,585385.738906,585385.742806
39863,585385.746364,0.003035,585385.744847,585385.747882
39864,585385.752523,0.011117,585385.746964,585385.758082
39865,585385.755924,0.010727,585385.750560,585385.761287
39866,585385.761576,0.003077,585385.760037,585385.763114
39867,585385.763227,0.002204,585385.762125,585385.764328
39868,585385.766242,0.005586,585385.763449,585385.769036
39869,585385.770249,0.003969,585385.768264,585385.772233
39870,585385.775835,0.009046,585385.771313,585385.780358
39871,585385.781963,0.005016,585385.779455,585385.784471
39872,585385.785929,0.004692,585385.783583,585385.788275
39873,585385.790924,0.007027,585385.787410,585385.794437
39874,585385.795727,0.004685,585385.793384,585385.798069
39875,585385.801941,0.008233,585385.797825,585385.806058
39876,585385.804798,0.006993,585385.801301,585385.808295
39877,585385.811488,0.004683,585385.809146,585385.813829
39878,585385.815140,0.002162,585385.814059,585385.816221
39879,585385.819454,0.004534,585385.817186,585385.821721
39880,585385.825640,0.008302,585385.821489,585385.829791
39881,585385.829534,0.009365,585385.824851,585385.834216
39882,585385.835565,0.002227,585385.834452,585385.836679
39883,585385.839363,0.003838,585385.837444,585385.841282
39884,585385.843209,0.005800,585385.840309,585385.846110
39885,585385.847109,0.003705,585385.845257,585385.848962
39886,585385.853439,0.007665,585385.849607,585385.857272
39887,585385.858854,0.002667,585385.857520,585385.860187
39888,585385.862331,0.005674,585385.859494,585385.865168
39889,585385.867315,0.005736,585385.864447,585385.870183
39890,585385.871581,0.004501,585385.869331,585385.873831
39891,585385.877735,0.009577,585385.872946,585385.882523
39892,585385.885129,0.016039,585385.877110,585385.893149
39893,585385.894980,0.003980,585385.892990,585385.896970
39894,585385.900660,0.007476,585385.896922,585385.904398
39895,585385.904725,0.007480,585385.900985,585385.908465
39896,585385.909640,0.004068,585385.907606,585385.911675
39897,585385.914668,0.003758,585385.912789,585385.916547
39898,585385.919182,0.003640,585385.917362,585385.921002
39899,585385.923001,0.003178,585385.921412,585385.924590
39900,585385.928581,0.009389,585385.923887,585385.933276
39901,585385.934733,0.004258,585385.932604,585385.936862
39902,585385.940276,0.008246,585385.936152,585385.944399
39903,585385.944359,0.003861,585385.942429,585385.946290
39904,585385.947487,0.003973,585385.945501,585385.949474
39905,585385.953410,0.006617,585385.950102,585385.956718
39906,585385.960936,0.007002,585385.957435,585385.964437
39907,585385.966393,0.006149,585385.963319,585385.969468
39908,585385.970353,0.003254,585385.968726,585385.971980
39909,585385.974977,0.000593,585385.974681,585385.975274
39910,585385.978169,0.005287,585385.975525,585385.980812
39911,585385.981337,0.006487,585385.978094,585385.984581
39912,585385.986641,0.002547,585385.985368,585385.987915
39913,585385.990600,0.004033,585385.988584,585385.992617
39914,585385.995387,0.004123,585385.993326,585385.997449
39915,585385.998951,0.004682,585385.996610,585386.001292
39916,585386.004678,0.008179,585386.000589,585386.008768
39917,585386.010814,0.002656,585386.009486,585386.012142
39918,585386.014674,0.003534,585386.012907,585386.016441
39919,585386.018923,0.003422,585386.017212,585386.020634
39920,585386.022881,0.003132,585386.021316,585386.024447
39921,585386.028740,0.009795,585386.023843,585386.033637
39922,585386.033416,0.007726,585386.029553,585386.037279
39923,585386.039966,0.003567,585386.038182,585386.041749
39924,585386.042824,0.003336,585386.041156,585386.044493
39925,585386.046613,0.005445,585386.043890,585386.049335
39926,585386.051519,0.006036,585386.048501,585386.054537
39927,585386.058053,0.005687,585386.055210,585386.060896
39928,585386.067076,0.010976,585386.061588,585386.072563
39929,585386.074492,0.000227,585386.074378,585386.074605
39930,585386.077320,0.000172,585386.077234,585386.077406
39931,585386.077639,0.000273,585386.077503,585386.077776
39932,585386.080786,0.004898,585386.078337,585386.083235
39933,585386.085000,0.004585,585386.082708,585386.087293
39934,585386.089814,0.003541,585386.088044,585386.091585
39935,585386.093314,0.004802,585386.090913,585386.095715
39936,585386.097195,0.004332,585386.095029,585386.099361
39937,585386.104073,0.007451,585386.100347,585386.107798
39938,585386.108108,0.007734,585386.104241,585386.111975
39939,585386.113259,0.004150,585386.111184,585386.115334
39940,585386.118261,0.004046,585386.116238,585386.120284
39941,585386.121963,0.005092,585386.119416,585386.124509
39942,585386.126728,0.002846,585386.125305,585386.128150
39943,585386.132699,0.007892,585386.128753,585386.136645
39944,585386.139614,0.004479,585386.137374,585386.141853
39945,585386.142868,0.002413,585386.141662,585386.144075
39946,585386.147952,0.006617,585386.144644,585386.151260
39947,585386.151628,0.001978,585386.150639,585386.152616
39948,585386.156602,0.009331,585386.151937,585386.161268
39949,585386.163465,0.003890,585386.161520,585386.165410
39950,585386.167192,0.007040,585386.163672,585386.170712
39951,585386.174768,0.008604,585386.170466,585386.179070
39952,585386.178028,0.003409,585386.176323,585386.179732
39953,585386.182759,0.004810,585386.180354,585386.185163
39954,585386.186139,0.007772,585386.182253,585386.190025
39955,585386.193115,0.005037,585386.190596,585386.195633
39956,585386.195377,0.002819,585386.193967,585386.196787
