frame,t,nx,ny,nz,agree_deg
438,607464.105651,0.40707,-0.73251,-0.54565,2.65
439,607464.109831,0.42432,-0.74046,-0.52122,3.31
440,607464.11332,0.43674,-0.75003,-0.49671,2.3
441,607464.11784,0.44172,-0.76027,-0.47632,2.2
442,607464.120412,0.45436,-0.76399,-0.45812,1.92
443,607464.1249,0.45598,-0.77222,-0.44245,1.3
444,607464.133496,0.45418,-0.77424,-0.44076,0.81
445,607464.137632,0.45131,-0.77746,-0.43804,1.25
446,607464.140859,0.43978,-0.77924,-0.44652,0.49
447,607464.157609,0.41198,-0.78168,-0.46825,1.13
448,607464.160873,0.39975,-0.77771,-0.48515,1.04
449,607464.165774,0.39569,-0.77682,-0.48988,1.3
450,607464.168573,0.3903,-0.77055,-0.50391,1.77
451,607464.172698,0.39497,-0.76834,-0.50364,1.55
452,607464.180909,0.39265,-0.7741,-0.49659,1.28
453,607464.185508,0.39756,-0.77352,-0.49357,1.35
454,607464.189119,0.4018,-0.77244,-0.49182,2.15
455,607464.193223,0.40616,-0.77752,-0.48009,1.64
456,607464.196505,0.41136,-0.77919,-0.47291,1.67
457,607464.200717,0.42311,-0.78058,-0.46009,1.94
458,607464.209337,0.43133,-0.78237,-0.44927,1.6
459,607464.212961,0.44217,-0.78383,-0.43599,1.77
460,607464.217238,0.44306,-0.78788,-0.42773,1.76
461,607464.220443,0.44755,-0.79308,-0.4132,1.64
462,607464.224457,0.45132,-0.792,-0.41116,1.77
463,607464.242406,0.44422,-0.79829,-0.40669,1.72
464,607464.24477,0.43823,-0.79702,-0.41558,1.42
465,607464.249218,0.42103,-0.80536,-0.41728,1.05
466,607464.253557,0.40634,-0.81124,-0.42045,1.38
467,607464.261109,0.38757,-0.81872,-0.42366,1.2
468,607464.264797,0.37942,-0.81666,-0.43486,1.36
469,607464.26898,0.37372,-0.81561,-0.44172,1.55
470,607464.272988,0.37149,-0.80967,-0.45435,1.0
471,607464.276453,0.37519,-0.80568,-0.45839,0.71
472,607464.286666,0.3853,-0.7953,-0.46802,0.65
473,607464.289666,0.39927,-0.79048,-0.46447,1.34
474,607464.293624,0.41338,-0.7833,-0.46428,1.47
475,607464.2974,0.42055,-0.78387,-0.45682,1.3
476,607464.301151,0.43117,-0.77769,-0.45748,1.15
477,607464.309798,0.43521,-0.78186,-0.44641,1.61
