frame,t,theta_deg,area_px,cx,cy,d1,d2,ang_deg,rcx,rcy,rd1,rd2,rang
233,607463.044968,52.448,68,122.084,22.552,70.294,115.335,65.645,429.55,220.03,92.17,150.8,65.15
234,607463.050551,52.26,69,121.6,22.663,70.245,114.763,64.707,428.91,220.2,92.11,150.13,64.16
235,607463.052578,52.35,72,121.966,22.582,70.405,115.261,65.562,429.39,220.07,92.36,150.54,65.08
236,607463.061599,52.772,69,121.899,22.72,70.101,115.872,65.455,429.2,220.41,91.74,151.37,64.99
237,607463.065152,52.727,70,121.793,22.792,70.063,115.689,65.591,429.12,220.39,91.9,151.19,65.04
238,607463.068556,52.633,69,121.89,22.7,70.113,115.522,65.733,429.28,220.25,91.94,151.1,65.19
239,607463.073485,52.656,72,121.769,22.804,70.045,115.472,65.6,429.05,220.41,91.9,150.81,65.04
240,607463.076555,52.862,68,122.145,22.494,70.167,116.223,65.362,429.59,219.96,92.05,151.97,64.92
241,607463.084949,52.526,74,121.623,22.774,70.201,115.387,65.505,428.93,220.32,92.14,150.89,64.93
242,607463.088541,52.526,69,121.789,22.735,70.131,115.27,65.734,429.15,220.3,91.97,150.77,65.19
243,607463.092636,52.481,69,121.538,22.84,70.172,115.22,65.568,428.74,220.52,91.9,150.62,65.06
244,607463.097353,52.597,70,121.646,22.816,70.099,115.404,65.633,428.96,220.44,91.86,150.97,65.13
245,607463.101145,52.995,68,121.758,22.8,69.925,116.178,65.498,429.08,220.38,91.73,151.99,65.01
246,607463.104951,52.718,72,121.63,22.846,70.09,115.708,65.61,428.93,220.43,91.92,151.37,65.13
247,607463.112654,52.971,68,121.777,22.788,70.001,116.237,65.495,429.11,220.38,91.85,151.78,64.97
248,607463.117248,52.949,67,121.447,22.921,70.006,116.188,65.657,428.71,220.54,91.81,151.97,65.12
249,607463.120513,52.598,72,121.701,22.826,70.135,115.467,65.622,429.03,220.42,91.97,151.04,65.08
250,607463.128966,53.245,67,121.638,22.856,69.912,116.833,65.754,428.93,220.47,91.7,152.7,65.23
251,607463.136919,52.643,72,121.587,22.914,70.046,115.438,65.517,428.84,220.57,91.87,150.72,65.01
